Temperature	Well	Fluorescence
25.0	A1	2883.37
25.5	A1	2883.18
26.0	A1	2882.99
26.5	A1	2882.81
27.0	A1	2882.62
27.5	A1	2882.43
28.0	A1	2882.24
28.5	A1	2882.18
29.0	A1	2882.21
29.5	A1	2881.8
30.0	A1	2881.2
30.5	A1	2880.61
31.0	A1	2880.18
31.5	A1	2880.51
32.0	A1	2881.39
32.5	A1	2882.59
33.0	A1	2884.21
33.5	A1	2886.04
34.0	A1	2887.53
34.5	A1	2888.87
35.0	A1	2890.34
35.5	A1	2891.25
36.0	A1	2891.89
36.5	A1	2892.1
37.0	A1	2892.03
37.5	A1	2891.43
38.0	A1	2891.01
38.5	A1	2890.49
39.0	A1	2890.24
39.5	A1	2889.92
40.0	A1	2889.52
40.5	A1	2888.9
41.0	A1	2888.27
41.5	A1	2887.31
42.0	A1	2886.1
42.5	A1	2884.86
43.0	A1	2883.35
43.5	A1	2881.31
44.0	A1	2879.16
44.5	A1	2876.68
45.0	A1	2873.7
45.5	A1	2870.06
46.0	A1	2865.7
46.5	A1	2860.17
47.0	A1	2853.94
47.5	A1	2846.79
48.0	A1	2839.25
48.5	A1	2831.38
49.0	A1	2823.35
49.5	A1	2815.16
50.0	A1	2807.17
50.5	A1	2799.1
51.0	A1	2791.31
51.5	A1	2783.73
52.0	A1	2776.33
52.5	A1	2769.01
53.0	A1	2762.03
53.5	A1	2755.22
54.0	A1	2749.01
54.5	A1	2743.25
55.0	A1	2738.27
55.5	A1	2733.95
56.0	A1	2730.67
56.5	A1	2728.2
57.0	A1	2726.68
57.5	A1	2725.48
58.0	A1	2724.67
58.5	A1	2723.52
59.0	A1	2721.65
59.5	A1	2718.95
60.0	A1	2715.73
60.5	A1	2711.71
61.0	A1	2707.49
61.5	A1	2703.29
62.0	A1	2699.25
62.5	A1	2694.92
63.0	A1	2690.47
63.5	A1	2685.52
64.0	A1	2680.21
64.5	A1	2674.21
65.0	A1	2667.94
65.5	A1	2661.52
66.0	A1	2654.74
66.5	A1	2647.57
67.0	A1	2640.24
67.5	A1	2632.82
68.0	A1	2624.77
68.5	A1	2616.2
69.0	A1	2606.98
69.5	A1	2596.94
70.0	A1	2585.77
70.5	A1	2574.21
71.0	A1	2562.86
71.5	A1	2551.76
72.0	A1	2541.66
72.5	A1	2533.08
73.0	A1	2525.9
73.5	A1	2519.9
74.0	A1	2515.31
74.5	A1	2511.44
75.0	A1	2508.03
75.5	A1	2504.97
76.0	A1	2501.96
76.5	A1	2498.86
77.0	A1	2495.91
77.5	A1	2493.16
78.0	A1	2490.46
78.5	A1	2487.96
79.0	A1	2485.67
79.5	A1	2483.48
80.0	A1	2481.15
80.5	A1	2478.52
81.0	A1	2475.84
81.5	A1	2473.1
82.0	A1	2470.37
82.5	A1	2467.77
83.0	A1	2465.76
83.5	A1	2464.08
84.0	A1	2462.51
84.5	A1	2460.89
85.0	A1	2459.14
85.5	A1	2457.1
86.0	A1	2454.75
86.5	A1	2452.26
87.0	A1	2449.71
87.5	A1	2447.35
88.0	A1	2445.17
88.5	A1	2442.96
89.0	A1	2440.94
89.5	A1	2439.14
90.0	A1	2437.34
90.5	A1	2435.52
91.0	A1	2434.18
91.5	A1	2432.64
92.0	A1	2431.13
92.5	A1	2429.68
93.0	A1	2428.17
93.5	A1	2426.34
94.0	A1	2424.37
94.5	A1	2422.37
95.0	A1	2419.63
25.0	A2	2976.07
25.5	A2	2977.55
26.0	A2	2979.04
26.5	A2	2980.52
27.0	A2	2982.01
27.5	A2	2983.49
28.0	A2	2984.98
28.5	A2	2986.39
29.0	A2	2987.29
29.5	A2	2988.02
30.0	A2	2988.4
30.5	A2	2988.51
31.0	A2	2989.08
31.5	A2	2991.11
32.0	A2	2993.93
32.5	A2	2997.79
33.0	A2	3002.01
33.5	A2	3006.92
34.0	A2	3011.85
34.5	A2	3016.96
35.0	A2	3022.17
35.5	A2	3028.01
36.0	A2	3033.32
36.5	A2	3038.52
37.0	A2	3043.76
37.5	A2	3048.86
38.0	A2	3053.99
38.5	A2	3060.03
39.0	A2	3066.67
39.5	A2	3074.06
40.0	A2	3082.36
40.5	A2	3091.63
41.0	A2	3101.76
41.5	A2	3112.83
42.0	A2	3124.89
42.5	A2	3137.92
43.0	A2	3151.54
43.5	A2	3165.27
44.0	A2	3179.02
44.5	A2	3192.65
45.0	A2	3205.85
45.5	A2	3218.44
46.0	A2	3230.53
46.5	A2	3242.01
47.0	A2	3252.3
47.5	A2	3261.58
48.0	A2	3269.42
48.5	A2	3276.0
49.0	A2	3281.09
49.5	A2	3285.09
50.0	A2	3287.78
50.5	A2	3289.97
51.0	A2	3291.49
51.5	A2	3292.52
52.0	A2	3293.2
52.5	A2	3293.92
53.0	A2	3294.64
53.5	A2	3295.57
54.0	A2	3297.16
54.5	A2	3299.57
55.0	A2	3302.79
55.5	A2	3306.86
56.0	A2	3312.02
56.5	A2	3317.88
57.0	A2	3324.41
57.5	A2	3331.28
58.0	A2	3338.1
58.5	A2	3344.68
59.0	A2	3350.45
59.5	A2	3354.96
60.0	A2	3357.83
60.5	A2	3359.01
61.0	A2	3357.55
61.5	A2	3354.16
62.0	A2	3348.8
62.5	A2	3342.01
63.0	A2	3333.95
63.5	A2	3325.44
64.0	A2	3316.3
64.5	A2	3306.56
65.0	A2	3296.34
65.5	A2	3285.29
66.0	A2	3273.63
66.5	A2	3261.41
67.0	A2	3248.88
67.5	A2	3235.77
68.0	A2	3222.53
68.5	A2	3208.74
69.0	A2	3194.36
69.5	A2	3179.92
70.0	A2	3165.75
70.5	A2	3152.3
71.0	A2	3140.08
71.5	A2	3129.63
72.0	A2	3120.2
72.5	A2	3111.69
73.0	A2	3103.72
73.5	A2	3095.86
74.0	A2	3087.75
74.5	A2	3079.67
75.0	A2	3071.29
75.5	A2	3062.91
76.0	A2	3054.59
76.5	A2	3046.13
77.0	A2	3037.78
77.5	A2	3029.92
78.0	A2	3021.97
78.5	A2	3014.15
79.0	A2	3006.47
79.5	A2	2998.86
80.0	A2	2991.27
80.5	A2	2983.94
81.0	A2	2976.91
81.5	A2	2970.68
82.0	A2	2965.07
82.5	A2	2960.24
83.0	A2	2956.22
83.5	A2	2952.96
84.0	A2	2950.09
84.5	A2	2947.79
85.0	A2	2945.41
85.5	A2	2943.24
86.0	A2	2941.14
86.5	A2	2939.18
87.0	A2	2937.03
87.5	A2	2935.23
88.0	A2	2933.38
88.5	A2	2931.35
89.0	A2	2928.81
89.5	A2	2925.9
90.0	A2	2922.58
90.5	A2	2918.87
91.0	A2	2915.21
91.5	A2	2911.5
92.0	A2	2907.84
92.5	A2	2903.96
93.0	A2	2899.88
93.5	A2	2895.15
94.0	A2	2889.63
94.5	A2	2884.02
95.0	A2	2876.65
25.0	A3	3189.13
25.5	A3	3188.25
26.0	A3	3187.38
26.5	A3	3186.51
27.0	A3	3185.63
27.5	A3	3184.76
28.0	A3	3183.89
28.5	A3	3183.57
29.0	A3	3183.46
29.5	A3	3183.38
30.0	A3	3182.66
30.5	A3	3181.78
31.0	A3	3180.95
31.5	A3	3180.98
32.0	A3	3182.0
32.5	A3	3184.51
33.0	A3	3187.88
33.5	A3	3192.61
34.0	A3	3197.59
34.5	A3	3202.85
35.0	A3	3207.84
35.5	A3	3213.05
36.0	A3	3218.05
36.5	A3	3223.34
37.0	A3	3228.84
37.5	A3	3234.89
38.0	A3	3241.4
38.5	A3	3248.23
39.0	A3	3255.57
39.5	A3	3263.46
40.0	A3	3271.88
40.5	A3	3280.95
41.0	A3	3291.03
41.5	A3	3301.75
42.0	A3	3313.28
42.5	A3	3325.37
43.0	A3	3337.5
43.5	A3	3349.39
44.0	A3	3361.22
44.5	A3	3372.82
45.0	A3	3383.79
45.5	A3	3394.5
46.0	A3	3404.77
46.5	A3	3414.35
47.0	A3	3422.73
47.5	A3	3430.48
48.0	A3	3437.25
48.5	A3	3443.15
49.0	A3	3448.01
49.5	A3	3452.32
50.0	A3	3455.7
50.5	A3	3458.17
51.0	A3	3459.53
51.5	A3	3459.97
52.0	A3	3459.37
52.5	A3	3458.26
53.0	A3	3457.11
53.5	A3	3456.25
54.0	A3	3455.56
54.5	A3	3455.59
55.0	A3	3456.32
55.5	A3	3457.3
56.0	A3	3458.92
56.5	A3	3462.09
57.0	A3	3466.07
57.5	A3	3470.84
58.0	A3	3476.86
58.5	A3	3483.79
59.0	A3	3490.46
59.5	A3	3497.07
60.0	A3	3502.84
60.5	A3	3506.92
61.0	A3	3508.52
61.5	A3	3507.49
62.0	A3	3503.36
62.5	A3	3496.61
63.0	A3	3487.59
63.5	A3	3476.73
64.0	A3	3464.81
64.5	A3	3452.27
65.0	A3	3438.8
65.5	A3	3424.7
66.0	A3	3410.27
66.5	A3	3395.03
67.0	A3	3379.23
67.5	A3	3363.05
68.0	A3	3346.16
68.5	A3	3328.13
69.0	A3	3309.67
69.5	A3	3290.58
70.0	A3	3271.68
70.5	A3	3253.64
71.0	A3	3237.44
71.5	A3	3222.9
72.0	A3	3210.53
72.5	A3	3199.7
73.0	A3	3189.99
73.5	A3	3181.25
74.0	A3	3173.14
74.5	A3	3165.14
75.0	A3	3157.14
75.5	A3	3149.2
76.0	A3	3140.78
76.5	A3	3131.96
77.0	A3	3122.83
77.5	A3	3113.74
78.0	A3	3104.9
78.5	A3	3096.34
79.0	A3	3088.26
79.5	A3	3080.7
80.0	A3	3073.48
80.5	A3	3066.32
81.0	A3	3059.23
81.5	A3	3052.44
82.0	A3	3045.71
82.5	A3	3039.03
83.0	A3	3032.6
83.5	A3	3026.57
84.0	A3	3020.31
84.5	A3	3014.2
85.0	A3	3008.08
85.5	A3	3001.91
86.0	A3	2995.68
86.5	A3	2989.73
87.0	A3	2983.93
87.5	A3	2978.01
88.0	A3	2971.94
88.5	A3	2965.61
89.0	A3	2959.02
89.5	A3	2952.15
90.0	A3	2945.64
90.5	A3	2939.52
91.0	A3	2933.52
91.5	A3	2927.72
92.0	A3	2922.05
92.5	A3	2916.38
93.0	A3	2910.55
93.5	A3	2905.06
94.0	A3	2899.89
94.5	A3	2894.71
95.0	A3	2890.36
25.0	A4	3042.83
25.5	A4	3041.96
26.0	A4	3041.08
26.5	A4	3040.21
27.0	A4	3039.33
27.5	A4	3038.45
28.0	A4	3037.58
28.5	A4	3036.89
29.0	A4	3036.68
29.5	A4	3036.54
30.0	A4	3036.39
30.5	A4	3036.31
31.0	A4	3036.84
31.5	A4	3038.23
32.0	A4	3040.52
32.5	A4	3043.77
33.0	A4	3047.88
33.5	A4	3052.71
34.0	A4	3057.88
34.5	A4	3063.4
35.0	A4	3069.09
35.5	A4	3074.88
36.0	A4	3080.44
36.5	A4	3085.73
37.0	A4	3090.96
37.5	A4	3096.37
38.0	A4	3101.96
38.5	A4	3108.2
39.0	A4	3115.56
39.5	A4	3123.86
40.0	A4	3133.08
40.5	A4	3143.46
41.0	A4	3154.96
41.5	A4	3167.24
42.0	A4	3180.42
42.5	A4	3194.67
43.0	A4	3209.86
43.5	A4	3225.62
44.0	A4	3241.88
44.5	A4	3258.57
45.0	A4	3275.18
45.5	A4	3291.51
46.0	A4	3307.51
46.5	A4	3323.05
47.0	A4	3337.34
47.5	A4	3350.37
48.0	A4	3361.72
48.5	A4	3371.28
49.0	A4	3379.05
49.5	A4	3385.65
50.0	A4	3390.96
50.5	A4	3395.36
51.0	A4	3398.79
51.5	A4	3401.21
52.0	A4	3402.48
52.5	A4	3403.28
53.0	A4	3403.7
53.5	A4	3404.01
54.0	A4	3404.58
54.5	A4	3405.59
55.0	A4	3406.73
55.5	A4	3407.92
56.0	A4	3409.48
56.5	A4	3411.39
57.0	A4	3413.38
57.5	A4	3415.17
58.0	A4	3417.05
58.5	A4	3418.89
59.0	A4	3420.11
59.5	A4	3420.87
60.0	A4	3421.35
60.5	A4	3420.95
61.0	A4	3418.53
61.5	A4	3414.26
62.0	A4	3408.06
62.5	A4	3399.53
63.0	A4	3388.84
63.5	A4	3376.96
64.0	A4	3364.2
64.5	A4	3350.73
65.0	A4	3336.91
65.5	A4	3323.07
66.0	A4	3309.34
66.5	A4	3295.42
67.0	A4	3281.27
67.5	A4	3266.97
68.0	A4	3252.03
68.5	A4	3236.26
69.0	A4	3220.03
69.5	A4	3203.49
70.0	A4	3186.87
70.5	A4	3171.13
71.0	A4	3156.93
71.5	A4	3144.02
72.0	A4	3132.89
72.5	A4	3123.1
73.0	A4	3114.24
73.5	A4	3105.55
74.0	A4	3097.32
74.5	A4	3088.68
75.0	A4	3080.31
75.5	A4	3071.95
76.0	A4	3063.88
76.5	A4	3055.94
77.0	A4	3048.45
77.5	A4	3040.74
78.0	A4	3033.06
78.5	A4	3025.49
79.0	A4	3017.96
79.5	A4	3010.6
80.0	A4	3003.85
80.5	A4	2997.63
81.0	A4	2992.14
81.5	A4	2987.29
82.0	A4	2983.12
82.5	A4	2979.37
83.0	A4	2976.29
83.5	A4	2973.41
84.0	A4	2971.15
84.5	A4	2969.46
85.0	A4	2968.1
85.5	A4	2966.9
86.0	A4	2966.04
86.5	A4	2964.97
87.0	A4	2963.73
87.5	A4	2962.66
88.0	A4	2961.17
