Temperature	Well	Fluorescence
25.0	A1	5238.3
25.5	A1	5213.35
26.0	A1	5188.39
26.5	A1	5163.43
27.0	A1	5138.48
27.5	A1	5113.52
28.0	A1	5088.56
28.5	A1	5064.25
29.0	A1	5040.51
29.5	A1	5016.74
30.0	A1	4993.45
30.5	A1	4973.34
31.0	A1	4955.82
31.5	A1	4939.96
32.0	A1	4926.66
32.5	A1	4915.79
33.0	A1	4905.83
33.5	A1	4896.34
34.0	A1	4890.04
34.5	A1	4886.86
35.0	A1	4887.22
35.5	A1	4890.95
36.0	A1	4898.99
36.5	A1	4908.59
37.0	A1	4919.27
37.5	A1	4930.29
38.0	A1	4942.0
38.5	A1	4954.25
39.0	A1	4967.28
39.5	A1	4981.71
40.0	A1	4997.51
40.5	A1	5012.88
41.0	A1	5029.39
41.5	A1	5046.02
42.0	A1	5063.64
42.5	A1	5081.28
43.0	A1	5102.2
43.5	A1	5126.51
44.0	A1	5154.12
44.5	A1	5183.7
45.0	A1	5216.58
45.5	A1	5250.55
46.0	A1	5282.09
46.5	A1	5314.04
47.0	A1	5344.34
47.5	A1	5374.79
48.0	A1	5406.34
48.5	A1	5442.64
49.0	A1	5480.05
49.5	A1	5520.02
50.0	A1	5559.43
50.5	A1	5597.09
51.0	A1	5630.65
51.5	A1	5660.93
52.0	A1	5688.13
52.5	A1	5713.1
53.0	A1	5735.42
53.5	A1	5752.13
54.0	A1	5766.65
54.5	A1	5778.81
55.0	A1	5788.84
55.5	A1	5798.95
56.0	A1	5813.29
56.5	A1	5832.03
57.0	A1	5856.89
57.5	A1	5891.56
58.0	A1	5937.97
58.5	A1	5999.96
59.0	A1	6077.71
59.5	A1	6173.34
60.0	A1	6283.93
60.5	A1	6406.47
61.0	A1	6534.3
61.5	A1	6661.04
62.0	A1	6777.68
62.5	A1	6877.2
63.0	A1	6952.32
63.5	A1	7000.09
64.0	A1	7020.5
64.5	A1	7016.24
65.0	A1	6992.43
65.5	A1	6956.64
66.0	A1	6912.76
66.5	A1	6864.29
67.0	A1	6813.95
67.5	A1	6763.18
68.0	A1	6710.94
68.5	A1	6658.98
69.0	A1	6608.13
69.5	A1	6558.7
70.0	A1	6510.18
70.5	A1	6463.04
71.0	A1	6417.09
71.5	A1	6371.02
72.0	A1	6325.29
72.5	A1	6279.69
73.0	A1	6235.64
73.5	A1	6191.28
74.0	A1	6148.36
74.5	A1	6105.85
75.0	A1	6064.74
75.5	A1	6023.24
76.0	A1	5983.01
76.5	A1	5943.13
77.0	A1	5903.69
77.5	A1	5863.93
78.0	A1	5824.77
78.5	A1	5785.73
79.0	A1	5746.68
79.5	A1	5706.98
80.0	A1	5667.58
80.5	A1	5627.98
81.0	A1	5588.74
81.5	A1	5549.8
82.0	A1	5512.26
82.5	A1	5472.82
83.0	A1	5433.16
83.5	A1	5393.0
84.0	A1	5352.48
84.5	A1	5312.35
85.0	A1	5276.98
85.5	A1	5242.68
86.0	A1	5208.78
86.5	A1	5175.0
87.0	A1	5139.97
87.5	A1	5099.78
88.0	A1	5057.85
88.5	A1	5015.1
89.0	A1	4971.68
89.5	A1	4927.63
90.0	A1	4886.44
90.5	A1	4846.15
91.0	A1	4806.03
91.5	A1	4766.54
92.0	A1	4728.03
92.5	A1	4689.66
93.0	A1	4651.75
93.5	A1	4614.46
94.0	A1	4577.5
94.5	A1	4540.83
95.0	A1	4503.71
25.0	A2	3591.42
25.5	A2	3591.15
26.0	A2	3590.88
26.5	A2	3590.61
27.0	A2	3590.33
27.5	A2	3590.06
28.0	A2	3589.79
28.5	A2	3588.77
29.0	A2	3587.38
29.5	A2	3585.43
30.0	A2	3582.47
30.5	A2	3578.97
31.0	A2	3576.17
31.5	A2	3573.67
32.0	A2	3571.87
32.5	A2	3571.17
33.0	A2	3571.28
33.5	A2	3571.56
34.0	A2	3572.24
34.5	A2	3573.13
35.0	A2	3574.0
35.5	A2	3574.82
36.0	A2	3575.55
36.5	A2	3576.2
37.0	A2	3576.55
37.5	A2	3576.96
38.0	A2	3577.5
38.5	A2	3578.4
39.0	A2	3579.74
39.5	A2	3581.72
40.0	A2	3584.08
40.5	A2	3587.23
41.0	A2	3590.67
41.5	A2	3594.31
42.0	A2	3598.34
42.5	A2	3602.77
43.0	A2	3607.01
43.5	A2	3611.51
44.0	A2	3616.42
44.5	A2	3621.04
45.0	A2	3625.28
45.5	A2	3629.7
46.0	A2	3633.88
46.5	A2	3637.69
47.0	A2	3641.88
47.5	A2	3646.43
48.0	A2	3650.81
48.5	A2	3655.44
49.0	A2	3660.26
49.5	A2	3665.06
50.0	A2	3670.1
50.5	A2	3675.29
51.0	A2	3680.81
51.5	A2	3686.8
52.0	A2	3693.17
52.5	A2	3699.68
53.0	A2	3707.33
53.5	A2	3715.72
54.0	A2	3725.07
54.5	A2	3735.97
55.0	A2	3749.02
55.5	A2	3764.03
56.0	A2	3781.95
56.5	A2	3803.17
57.0	A2	3828.1
57.5	A2	3857.24
58.0	A2	3891.49
58.5	A2	3931.2
59.0	A2	3976.8
59.5	A2	4028.76
60.0	A2	4087.04
60.5	A2	4150.6
61.0	A2	4218.85
61.5	A2	4291.09
62.0	A2	4365.86
62.5	A2	4441.77
63.0	A2	4518.23
63.5	A2	4593.97
64.0	A2	4667.89
64.5	A2	4738.93
65.0	A2	4806.78
65.5	A2	4870.61
66.0	A2	4929.53
66.5	A2	4982.9
67.0	A2	5030.61
67.5	A2	5072.52
68.0	A2	5109.04
68.5	A2	5141.29
69.0	A2	5169.98
